,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
1182,828 US Highway 46,Top Quality Food Market,Morris,C+,0.0,156291.7271,328.0,3.8,60,44511003,1,0.0,264333,"1 - 1,499",13,99047.49091000001,495913.1091
1183,403 Bruck Ave,Torres Mini-Market,Middlesex,C+,0.0,81947.3414,18.0,4.8,98,44512001,1,0.0,229000,"1 - 1,499",12,61266.49091,835785.1818
1184,619 Route 33 W,Tri-County Co-Op Auction Mkt,Mercer,B,0.0,37490.520939999995,3.0,5.0,30,42448009,1,-0.81640625,1278000,"2,500 - 4,999",4,69383.27273,370297.8364
1185,68 S Washington Ave,Tri-Start Indian Grocery,Bergen,C+,0.0,108316.9431,15.0,2.9,27,44511003,0,0.0,252500,"1 - 1,499",20,85629.45455,942512.0545
1186,388 US Highway 46,Tropical Hut,Morris,B,0.0,156291.7271,139.0,4.5,60,44511003,1,0.0,264333,"1 - 1,499",13,99047.49091000001,495913.1091
1187,1406 Atlantic Ave,Twenty Four Seven Food Market,Atlantic,B,0.0,148854.97199999998,7.0,4.0,159,44511003,1,0.0,264500,"1 - 1,499",3,48563.56364,266207.8
1188,216 Sip Ave,Twin City Supermarket,Hudson,C+,0.0,291532.92600000004,639.0,4.0,200,44511003,1,0.0,230500,"2,500 - 4,999",39,65296.05455,685991.5091
1189,725 Secaucus Rd,Value Fresh Market,Hudson,U,0.0,97177.64201,128.0,4.3,110,44511003,1,0.0,230500,"1 - 1,499",49,65296.05455,685991.5091
1190,125 Watson Ave,Victoria Grocery Corp,Essex,C,0.0,35045.53939,6.0,4.8,52,44511003,1,0.0,243000,"1 - 1,499",11,67268.47273,799220.5636
1191,98 Webster Ave,Vidalia Y Quisqueya Deli-Groc,Hudson,C+,0.0,97177.64201,12.0,4.8,110,44511003,0,0.0,230500,"1,500 - 2,499",49,65296.05455,685991.5091
1192,1720 Old Trenton Rd,Village Pantry Deli,Mercer,B,0.0,112471.5628,60.0,4.2,15,44512001,1,0.0,234667,"1 - 1,499",8,69383.27273,370297.8364
1193,Mile 115 New Jersey Tpke,Vince Lombardi Svc Area,Bergen,B,0.0,270792.3579,4484.0,3.7,19,44719005,1,0.0,1297800,"1 - 1,499",48,85629.45455,942512.0545
1194,1116 N Delaware St,Wally's Grocery & Deli,Gloucester,C+,0.0,83017.30907,6.0,3.5,17,44511003,1,0.0,159000,"1,500 - 2,499",7,54928.127270000005,292277.1455
1195,615 County Road 627,Warren Glen Market,Warren,C+,0.0,66852.76632000001,73.0,4.8,4,44511003,1,0.0,234500,"1,500 - 2,499",3,55860.872729999995,105169.1091
1196,101 Boardwalk,Water Side Food,Atlantic,C+,0.0,74427.48599,12.0,4.5,159,44511003,1,0.0,264500,"1,500 - 2,499",3,48563.56364,266207.8
1197,22 Wall St,Welsh Farms,Monmouth,C+,0.0,76248.34021000001,6.0,4.2,12,44512001,1,0.0,229000,"1 - 1,499",11,79548.29091,621279.6364
1198,22 Wall St,Welsh Farms,Monmouth,C+,0.0,76248.34021000001,6.0,4.2,12,44512001,1,0.0,229000,"1 - 1,499",11,79548.29091,621279.6364
1199,1507 Central Ave,White's Market,Ocean,B+,0.0,1007168.272,90.0,4.5,2,44511003,1,0.0,258520,"10,000 - 19,999",0,52010.14545,600689.8727
1200,206 Pegasus Ave,Woori Mart,Bergen,B+,0.0,649901.6589,598.0,4.4,15,44511003,1,0.0,252417,"20,000 - 39,999",12,85629.45455,942512.0545
1201,329 US Highway 46,Xi House Market,Morris,B,0.0,416777.9391,8.0,2.9,60,44523003,1,0.0,178000,"2,500 - 4,999",13,99047.49091000001,495913.1091
1202,1318 Pacific Ave,Zia Deli & Grocery,Atlantic,C,0.0,74427.48599,120.0,4.6,159,72251117,1,0.0,56000,"1 - 1,499",3,48563.56364,266207.8
